2014-12-09 23:25:13.153 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 42, moves: 5 Player 2: searchType: 2, heuristic: 2, searchDepth: 2, average Time: 820, moves: 6, winner:2
2014-12-09 23:25:13.519 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 47, moves: 18 Player 2: searchType: 2, heuristic: 2, searchDepth: 3, average Time: 15426, moves: 18, winner:1
2014-12-09 23:25:14.507 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 48, moves: 6 Player 2: searchType: 2, heuristic: 2, searchDepth: 4, average Time: 133140, moves: 7, winner:2
2014-12-09 23:26:04.286 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 53, moves: 15 Player 2: searchType: 2, heuristic: 2, searchDepth: 5, average Time: 3067845, moves: 16, winner:2
2014-12-09 23:26:04.365 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 679, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 1, average Time: 46, moves: 24, winner:0
2014-12-09 23:26:04.460 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 678, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 630, moves: 24, winner:0
2014-12-09 23:26:04.786 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 657, moves: 23 Player 2: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 10015, moves: 24, winner:0
2014-12-09 23:26:09.437 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 944, moves: 13 Player 2: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 327861, moves: 14, winner:2
2014-12-09 23:27:41.199 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 695, moves: 22 Player 2: searchType: 1, heuristic: 0, searchDepth: 5, average Time: 3986095, moves: 23, winner:2
2014-12-09 23:27:41.259 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 466, moves: 17 Player 2: searchType: 1, heuristic: 1, searchDepth: 1, average Time: 132, moves: 18, winner:2
2014-12-09 23:27:41.303 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 333, moves: 8 Player 2: searchType: 1, heuristic: 1, searchDepth: 2, average Time: 1172, moves: 8, winner:1
2014-12-09 23:27:41.498 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 390, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 3, average Time: 17509, moves: 9, winner:1
2014-12-09 23:27:43.012 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 339, moves: 8 Player 2: searchType: 1, heuristic: 1, searchDepth: 4, average Time: 184708, moves: 8, winner:1
2014-12-09 23:28:17.373 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 397, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 5, average Time: 3813338, moves: 9, winner:1
2014-12-09 23:28:17.414 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 498, moves: 10 Player 2: searchType: 1, heuristic: 2, searchDepth: 1, average Time: 102, moves: 10, winner:1
2014-12-09 23:28:17.450 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 412, moves: 5 Player 2: searchType: 1, heuristic: 2, searchDepth: 2, average Time: 1021, moves: 6, winner:2
2014-12-09 23:28:17.586 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 485, moves: 5 Player 2: searchType: 1, heuristic: 2, searchDepth: 3, average Time: 17686, moves: 6, winner:2
2014-12-09 23:28:19.564 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 485, moves: 7 Player 2: searchType: 1, heuristic: 2, searchDepth: 4, average Time: 242727, moves: 8, winner:2
2014-12-09 23:28:51.942 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 489, moves: 5 Player 2: searchType: 1, heuristic: 2, searchDepth: 5, average Time: 5390957, moves: 6, winner:2
2014-12-09 23:28:52.021 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 682, moves: 23 Player 2: searchType: 2, heuristic: 0, searchDepth: 1, average Time: 64, moves: 24, winner:0
2014-12-09 23:28:52.117 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 681, moves: 23 Player 2: searchType: 2, heuristic: 0, searchDepth: 2, average Time: 710, moves: 24, winner:0
2014-12-09 23:28:52.255 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 847, moves: 12 Player 2: searchType: 2, heuristic: 0, searchDepth: 3, average Time: 6650, moves: 13, winner:2
2014-12-09 23:28:53.374 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 521, moves: 23 Player 2: searchType: 2, heuristic: 0, searchDepth: 4, average Time: 43490, moves: 24, winner:0
2014-12-09 23:29:00.080 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 710, moves: 15 Player 2: searchType: 2, heuristic: 0, searchDepth: 5, average Time: 415204, moves: 16, winner:2
2014-12-09 23:29:00.144 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 464, moves: 18 Player 2: searchType: 2, heuristic: 1, searchDepth: 1, average Time: 147, moves: 19, winner:2
2014-12-09 23:29:00.189 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 333, moves: 8 Player 2: searchType: 2, heuristic: 1, searchDepth: 2, average Time: 1285, moves: 8, winner:1
2014-12-09 23:29:00.373 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 438, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 3, average Time: 14593, moves: 10, winner:2
2014-12-09 23:29:01.914 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 340, moves: 8 Player 2: searchType: 2, heuristic: 1, searchDepth: 4, average Time: 187903, moves: 8, winner:1
2014-12-09 23:29:23.362 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 2, average Time: 475, moves: 11 Player 2: searchType: 2, heuristic: 1, searchDepth: 5, average Time: 1945614, moves: 11, winner:1
